dataset_id,ai_model_id,Accuracy,Precision
text_001,BERT_base,0.7699,0.7773
text_001,DistilBERT,0.8589,0.878
text_001,RoBERTa,0.8217,0.8177
text_001,ALBERT,0.788,0.7728
text_001,BiLSTM,0.9196,0.9178
text_001,LSTM,0.8826,0.8882
text_001,CNN_Text,0.8694,0.8503
text_001,Transformer_small,0.9074,0.8971
text_001,GPT2_small,0.7752,0.7778
text_001,ELECTRA,0.7637,0.7743
text_002,BERT_base,0.7914,0.7801
text_002,DistilBERT,0.9239,0.9171
text_002,RoBERTa,0.7795,0.7955
text_002,ALBERT,0.7506,0.7649
text_002,BiLSTM,0.7789,0.7641
text_002,LSTM,0.8001,0.7871
text_002,CNN_Text,0.8822,0.8632
text_002,Transformer_small,0.753,0.7646
text_002,GPT2_small,0.7976,0.7905
text_002,ELECTRA,0.7848,0.7669
text_003,BERT_base,0.8983,0.8994
text_003,DistilBERT,0.8991,0.8982
text_003,RoBERTa,0.9056,0.9061
text_003,ALBERT,0.7718,0.772
text_003,BiLSTM,0.9391,0.9208
text_003,LSTM,0.9066,0.9213
text_003,CNN_Text,0.8543,0.8526
text_003,Transformer_small,0.9428,0.9252
text_003,GPT2_small,0.8458,0.8419
text_003,ELECTRA,0.8872,0.8868
text_004,BERT_base,0.9319,0.9149
text_004,DistilBERT,0.7662,0.7705
text_004,RoBERTa,0.7631,0.7541
text_004,ALBERT,0.8766,0.8785
text_004,BiLSTM,0.815,0.8348
text_004,LSTM,0.8561,0.8543
text_004,CNN_Text,0.8711,0.8551
text_004,Transformer_small,0.8904,0.9045
text_004,GPT2_small,0.8802,0.8909
text_004,ELECTRA,0.8942,0.8828
text_005,BERT_base,0.8403,0.8295
text_005,DistilBERT,0.8178,0.8159
text_005,RoBERTa,0.8332,0.817
text_005,ALBERT,0.8354,0.842
text_005,BiLSTM,0.8249,0.811
text_005,LSTM,0.9346,0.9173
text_005,CNN_Text,0.9164,0.9001
text_005,Transformer_small,0.7693,0.7789
text_005,GPT2_small,0.9124,0.9146
text_005,ELECTRA,0.8673,0.8698
text_006,BERT_base,0.8159,0.8008
text_006,DistilBERT,0.8207,0.8273
text_006,RoBERTa,0.9001,0.9148
text_006,ALBERT,0.8942,0.9129
text_006,BiLSTM,0.8701,0.8641
text_006,LSTM,0.8656,0.8541
text_006,CNN_Text,0.8813,0.8703
text_006,Transformer_small,0.7716,0.7855
text_006,GPT2_small,0.8235,0.834
text_006,ELECTRA,0.8648,0.8771
text_007,BERT_base,0.919,0.938
text_007,DistilBERT,0.9137,0.9182
text_007,RoBERTa,0.8785,0.8596
text_007,ALBERT,0.9358,0.949
text_007,BiLSTM,0.8035,0.7907
